run_accession	cultivar	organism_part
ERR3791688	CML277	tip
ERR3791692	CML247	tip
ERR3791694	CML322	tip
ERR3791696	CML333	tip
ERR3791705	IL14H	tip
ERR3791710	Ky21	tip
ERR3791712	M162W	tip
ERR3791717	Mo18w	tip
ERR3791719	Ms71	tip
ERR3791722	NC358	tip
ERR3791743	CML333	root
ERR3791749	HP301	root
ERR3791753	Ki11	root
ERR3791758	Ky21	root
ERR3791761	M162W	root
ERR3791762	M37W	root
ERR3791780	Tzi8	root
ERR3791784	CML103	root
ERR3791790	CML247	shoot
ERR3791795	CML333	shoot
ERR3791800	HP301	shoot
ERR3791804	Ki11	shoot
ERR3791811	M37W	shoot
ERR3791813	Mo18w	shoot
ERR3791817	NC350	shoot
ERR3791826	P39	shoot
ERR3791834	CML103	shoot
ERR3791835	B97	tassel
ERR3791844	CML322	tassel
ERR3791850	CML69	tassel
ERR3791852	HP301	tassel
ERR3791853	IL14H	tassel
ERR3791871	NC358	tassel
ERR3791878	P39	tassel
ERR3791881	Tzi8	tassel
ERR3791407	CML277	anther
ERR3791429	Ky21	anther
ERR3791443	Oh43	anther
ERR3791455	CML103	ear
ERR3791457	CML277	ear
ERR3791477	Ki3	ear
ERR3791481	M162W	ear
ERR3791487	Ms71	ear
ERR3791496	P39	ear
ERR3791504	CML103	embryo
ERR3791517	M37W	embryo
ERR3791555	Ki11	endosperm
ERR3791558	Ky21	endosperm
ERR3791564	M37W	endosperm
ERR3791566	Mo18w	endosperm
ERR3791578	Tx303	endosperm
ERR3791586	CML277	base
ERR3791592	CML322	base
ERR3791598	CML69	base
ERR3791654	IL14H	middle
ERR3791660	Ky21	middle
ERR3791698	CML52	tip
ERR3791702	HP301	tip
ERR3791708	Ki3	tip
ERR3791827	Tx303	shoot
ERR3791837	CML103	tassel
ERR3791848	CML52	tassel
